id,below_poverty,total
22121,3203,21875
22123,2195,9957
22125,1102,10770
22127,3676,14153
23000,161582,1279612
23001,15839,102331
23003,11848,70135
23005,27855,267554
23007,4814,28243
23009,5496,51478
23011,15112,117240
23013,4937,40183
23015,3625,34286
23017,7514,55229
23019,20742,140754
23021,2805,17046
23023,3143,36211
23025,9270,50467
23027,5625,37641
23029,6137,32019
23031,16820,198795
24000,449770,5496430
24001,9272,65315
24003,25797,494919
24005,60047,767755
24009,4206,87156
24011,3407,31954
24013,8183,165099
24015,7721,97550
24017,7536,139065
24019,4134,31054
24021,10498,218738
24023,3784,29065
24025,12896,236750
24027,10982,271556
24029,2369,18957
24031,49830,937029
24033,60237,812875
24035,2662,45966
24037,7341,97169
24039,3506,19323
24041,2192,35633
24043,13419,138038
24045,11032,89099
24047,4763,48689
24510,123956,617676
25000,633667,6283288
25001,14124,218388
25003,14274,124991
25005,56875,530074
25007,1258,15654
25009,72181,720533
25011,8564,70506
25013,75120,452454
25015,15281,133326
25017,105892,1428959
25019,789,10767
25021,38113,638611
25023,31443,475968
25025,128504,695288
25027,71249,767769
26000,1417380,9800094
26001,1683,11306
26003,1107,8107
26005,11933,111649
26007,4521,29387
26009,3395,23520
26011,2723,15595
26013,938,7652
26015,4953,58327
26017,12353,106564
26019,1873,17007
26021,26307,157246
26023,6579,41949
26025,21664,133642
26027,6971,50047
26029,2845,25581
26031,4146,26265
26033,5537,33600
26035,5809,30092
26037,5077,69031
26039,2293,13372
26041,4404,36853
26043,2823,26371
26045,9095,105234
26047,2839,32753
26049,74168,427908
26051,5028,25791
26053,2644,14824
26055,7461,82400
26057,6087,37941
26059,6824,44525
26061,7213,31867
26063,4170,32821
26065,51487,259306
26067,8319,58206
26069,3665,25713
26071,1574,11491
26073,17501,60412
26075,20893,151994
26077,42696,237046
26079,2720,16283
26081,77444,590865
26083,436,2207
26085,2082,10841
26087,8320,89205
26089,1846,21599
26091,11780,97630
26093,11039,180851
26095,978,5276
26097,1327,10705
26099,72474,817350
26101,2938,23236
26103,8802,61503
26105,4337,28393
26107,7286,36425
26109,2766,23570
26111,9448,80546
26113,2468,14898
26115,13157,151499
26117,10969,61521
26119,1747,10073
26121,28231,168554
26123,7685,48281
26125,97207,1191844
26127,5367,27441
26129,3774,21018
26131,806,6899
26133,4185,22801
26135,1633,8815
26137,3179,23276
26139,18700,250607
26141,1649,13694
26143,5344,24945
26145,37449,197815
26147,18988,166965
26149,9072,61201
26151,6078,42699
26153,1416,8100
26155,8997,70574
26157,8404,55213
26159,12744,76979
26161,47085,322504
26163,418275,1950685
26165,5150,31313
27000,506233,5056956
27001,2163,15578
27003,19283,322461
27005,3047,31077
27007,7719,41700
27009,4693,38450
27011,658,5330
27013,10668,56682
27015,2215,24518
27017,3515,32384
27019,4273,87760
27021,3947,28252
27023,1195,12088
27025,3487,47322
27027,6600,50790
27029,1228,7918
27031,513,5395
27033,1099,11192
27035,6422,60557
27037,19728,386833
27039,1162,19340
27041,4001,35282
27043,1940,14395
27045,2430,20442
27047,2617,30276
27049,3500,44960
27051,734,5746
27053,124070,1112524
27055,1720,19090
27057,2254,18524
27059,3268,37877
27061,5181,43120
27063,1110,10691
27065,1923,16010
27067,3791,39486
27069,249,4403
27071,1794,13354
27073,634,6829
27075,1362,10684
27077,716,4068
27079,1932,27213
27081,539,5804
27083,2537,23461
27085,2788,35973
27087,1005,4893
27089,959,9247
27091,1750,20238
27093,2048,22569
27095,2993,25004
27097,4147,32067
27099,5094,37659
27101,706,8003
27103,3873,29918
27105,3741,19922
27107,860,6522
27109,10320,137063
27111,7011,55671
27113,1624,13739
27115,3645,26882
27117,1019,9258
27119,3950,29354
27121,979,10752
27123,68820,485357
27125,302,3926
27127,1657,15109
27129,1741,15779
27131,5074,55076
27133,747,9276
27135,1510,15543
27137,27378,188064
27139,4498,124656
27141,5405,83042
27143,1459,14910
27145,16893,136865
27147,2187,36023
27149,1247,8542
27151,933,9759
27153,3139,23496
27155,419,3543
27157,1692,21718
27159,2163,12915
27161,1355,18324
27163,10463,223230
27165,1455,10877
27167,488,6018
27169,7297,45311
27171,6409,115122
27173,1073,9875
28000,604204,2821414
28001,8695,30898
28003,5971,35137
28005,3543,13274
28007,4537,19256
28009,2150,7978
28011,13593,35876
28013,3105,14366
28015,2308,9898
28017,4628,18457
28019,2070,9095
28021,3761,9752
28023,3774,17103
28025,4956,20588
28027,9676,26899
28029,6674,28018
28031,5183,20141
28033,13921,147639
28035,19322,74783
28037,1961,8277
28039,2630,20883
28041,2052,11052
28043,5392,21794
28045,5819,40580
28047,26031,175327
28049,53882,239273
28051,8413,19686
28053,3855,9891
28055,833,1952
28057,3220,21921
28059,19311,130099
28061,3858,17793
28063,2709,8259
28065,3581,12339
28067,15723,65316
28069,2211,9003
28071,9334,36971
28073,6484,46911
28075,16184,71524
28077,2609,12955
28079,4319,21618
28081,15085,78672
28083,14053,33807
28085,6861,33539
28087,12023,56445
28089,12240,87557
28091,6409,24753
28093,7808,34576
28095,7579,36186
28097,3009,11412
28099,6323,28908
28101,3871,21062
28103,3779,11698
28105,13718,41163
28107,9942,35076
28109,11779,54628
28111,2648,12087
28113,10549,37617
28115,4643,28471
28117,5392,24844
28119,2878,8539
28121,13106,132628
28123,7069,28484
28125,1727,5181
28127,6412,27202
28129,2953,15877
28131,2417,13312
28133,9175,26247
28135,4138,12423
28137,4514,25690
28139,5011,20799
28141,4193,18908
28143,3006,9773
28145,4783,26879
28147,3529,15185
28149,9208,47526
28151,18315,55105
28153,4794,20423
28155,2458,9291
28157,2725,8895
28159,4092,19284
28161,3738,13298
28163,7974,25382
29000,784278,5732785
29001,6330,22216
29003,1347,16498
29005,811,5951
29007,3717,23553
29009,6212,35193
29011,1853,12577
29013,2839,16555
29015,3257,18122
29017,2079,11858
29019,26176,143412
29021,11607,83818
29023,8587,39768
29025,1381,8878
29027,4102,39352
29029,4555,39163
29031,10370,69076
29033,1457,9797
29035,1506,5879
29037,7775,96084
29039,2729,13660
29041,1130,7430
29043,6160,72084
29045,873,7122
29047,16195,214513
29049,1690,20209
29051,6622,69982
29053,1993,15919
29055,3732,23276
29057,1293,7459
29059,2708,16344
29061,1184,7967
29063,876,9672
29065,2743,14853
29067,2716,13270
29069,6998,29648
29071,9859,98740
29073,1871,15071
29075,979,6102
29077,38047,250578
29079,1484,9909
29081,1622,8725
29083,3601,21851
29085,1381,8927
29087,686,4884
29089,1424,9184
29091,7735,38185
29093,2348,9571
29095,101509,680395
29097,20602,111756
29099,19874,213652
29101,7786,48661
29103,662,3837
29105,5498,34397
29107,3487,31538
29109,5936,36852
29111,1547,9152
29113,5149,50228
